01 -02,Alchemy Jug,3000,12000
03-04,Amulet of Inescapable Location,***,1000
5,Amulet of Life Protection,5000,20000
06-07,Amulet of the Planes,6000,30000
08-11,Amulet of Proof Against Detection and Location,4000,15000
12-13,Apparatus of Kwalish,8000,35000
14-16,Arrow of Direction,2500,"17,500"
17,Artifact or Relic (see Special table hereafter),***,___
18-20,Bag of Beans,1000,5000
21,Bag of Devouring,***,1500
22-26,Bag of Holding,5000,25000
27,Bag of Transmuting,***,500
28-29,Bag of Tricks,2500,15000
30-31,Beaker of Plentiful Potions,1500,12500
32,"Boat, Folding",10000,25000
33,Book of Exalted Deeds (C),8000,"40,000"
34,Book of Infinite Spells,9000,50000
35,Book of Vile Darkness (C),8000,"40,000"
36,Boots of Dancing,***,5000
37-42,Boots of Elvenkind,1000,5000
43-47,Boots of Levitation,2000,15000
48-51,Boots of Speed,2500,20000
52-55,Boots of Striding and Springing,2500,20000
56-58,Bowl Commanding Water Elementals (M),4000,25000
59,Bowl of Watery Death (M),***,1000
60-79,Bracers of Defense,500*,"3,000'"
80-81,Bracers of Defenselessness,***,2000
82-84,Brazier Commanding Fire Elementals (M),4000,25000
85,Brazier of Sleep Smoke (M),***,1000
86-92,Brooch of Shielding,1000,10000
93,Broom of Animated Attack,***,3000
94-98,Broom of Flying,2000,10000
99-100,Bucknard's Everfull Purse,1.5K / 2.5K / 4K,15k / 25k / 40k
